x1,x2,x3,Y
100,-73,-73,27
6,75,-70,-354
78,-6,16,138
69,-27,38,237
-38,-83,87,389
10,19,89,239
-96,-73,92,326
-44,52,75,77
-98,-49,-35,-105
-3,-11,65,214
-48,99,-87,-507
-33,61,-85,-410
-79,71,-78,-455
-69,-93,-85,-138
-96,26,-3,-157
-79,-20,-56,-207
-46,34,91,159
-99,7,61,70
-59,-13,69,174
-44,66,-82,-422
-36,-75,-6,96
-75,-97,30,209
-45,5,-23,-124
-18,-4,-6,-28
-21,92,29,-118
70,25,95,305
100,61,-38,-136
66,-79,-84,-28
90,-94,2,284
-85,-64,-86,-215
-12,-22,-56,-136
18,-31,54,242
28,-13,-70,-156
35,-69,-91,-100
-80,-92,85,359
65,-96,-6,239
85,-53,-90,-79
44,-92,76,456
-65,-75,-67,-116
-65,56,-88,-441
-73,33,91,134
-65,-46,30,117
-82,-87,-50,-58
-68,-6,72,160
-26,59,72,72
57,-5,-10,37
39,-45,-78,-105
10,47,-7,-105
83,-39,-74,-61
63,-91,-82,-1
-25,-55,45,220
2,92,-6,-200
64,-22,-5,93
-96,-49,-86,-256
43,75,-6,-125
-72,-28,100,284
-93,81,-2,-261
90,78,70,144
54,70,-19,-143
-23,-40,-83,-192
7,19,75,194
-25,55,-77,-366
-68,-70,31,165
-28,-31,20,94
26,-19,47,205
94,100,87,155
58,13,47,173
-55,89,-73,-452
-65,-61,53,216
41,21,64,191
-73,35,22,-77
28,86,-33,-243
-39,-14,45,124
-74,-82,19,147
3,-85,68,377
24,-43,100,410
42,-34,57,281
-99,-52,96,293
54,-55,-27,83
54,1,89,319
63,-20,-15,58
-67,-70,-88,-191
-94,-18,-36,-166
3,-75,72,369
-13,-88,74,385
96,85,-24,-146
34,11,-52,-144
-46,98,-49,-389
17,67,-18,-171
-91,-58,-46,-113
-24,-2,76,208
50,-48,-35,41
-77,24,-65,-320
27,-47,-72,-95
83,1,-33,-18
-38,79,-68,-400
30,14,-79,-235
100,14,31,165
73,-57,14,229
-38,-65,8,116
-90,-37,-34,-118
55,4,-11,14
-52,-11,-83,-279
39,0,30,129
75,60,-42,-171
19,47,-56,-243
58,-15,64,280
35,-59,29,240
50,-15,99,377
8,-35,-63,-111
10,39,-1,-71
-69,9,71,126
21,-1,69,230
58,-79,61,399
-21,-21,19,78
-30,69,91,105
-38,-7,-88,-288
94,60,50,124
34,58,59,95
54,25,-61,-179
38,-91,62,406
12,-64,-50,-10
-72,5,-13,-121
28,-86,-26,122
14,14,58,160
-71,13,99,200
-86,93,16,-224
21,49,-28,-161
89,-37,81,406
-1,-48,-9,68
-55,-37,42,145
76,-80,41,359
-64,-69,76,302
-60,62,58,-10
28,-32,-100,-208
-45,15,-61,-258
93,-32,0,157
6,-38,-45,-53
-14,99,48,-68
23,-84,-37,80
-28,-10,44,124
50,-34,-36,10
-64,-81,22,164
-45,-76,-3,98
88,-42,-96,-116
76,-54,56,352
-34,100,-9,-261
46,7,83,281
-77,-80,45,218
-17,-94,86,429
-51,5,95,224
93,-83,17,310
82,52,-50,-172
18,-92,6,220
-81,-30,-50,-171
-99,1,-49,-248
93,100,62,79
81,53,-42,-151
53,42,-61,-214
51,-37,100,425
94,48,5,13
3,-96,-69,-12
-85,54,6,-175
-42,84,61,-27
-75,-88,-72,-115
72,-53,-5,163
46,-78,88,466
