x1,x2,x3,y
64,79,-64,-286
-70,55,92,96
-93,-57,-60,-159
-62,84,-97,-521
-5,96,4,-185
-57,37,-65,-326
-56,-88,22,186
-65,35,85,120
-13,74,-95,-446
82,70,24,14
51,-85,47,362
23,62,21,-38
-45,-55,-40,-55
94,-87,-44,136
9,-23,-72,-161
21,36,-29,-138
23,26,-74,-251
61,-86,13,272
-67,87,-16,-289
-80,42,-69,-371
-24,82,66,10
61,38,70,195
-62,71,-66,-402
71,83,-11,-128
53,-61,35,280
-49,-28,-75,-218
-19,-23,-74,-195
100,-90,-46,142
31,3,-89,-242
63,6,-85,-204
9,95,82,65
-34,87,-49,-355
-41,21,6,-65
-8,-2,22,62
-40,-15,32,86
-22,-75,-33,29
-90,-80,17,121
29,26,-81,-266
-75,-69,24,135
71,-77,32,321
-92,-85,-81,-165
84,-83,-91,-23
-53,-41,21,92
-99,-24,19,6
33,-30,99,390
70,95,-75,-345
81,17,-89,-220
2,99,95,89
-28,41,96,178
-21,-37,67,254
-48,-46,-82,-202
99,66,-25,-108
-6,21,-80,-288
-79,-88,40,217
-65,-61,-38,-57
-67,9,20,-25
-53,-31,-56,-159
42,6,48,174
46,-46,77,369
-19,-72,66,323
67,63,44,73
30,82,9,-107
-78,-5,83,181
52,32,-88,-276
44,67,12,-54
-5,58,-53,-280
44,-40,-78,-110
-74,45,-66,-362
4,-76,62,342
-75,-5,1,-62
-14,23,57,111
-16,22,64,132
-10,43,38,18
75,60,-53,-204
0,-61,48,266
-75,61,-33,-296
-26,48,71,91
66,-18,74,324
-56,83,0,-222
24,-83,59,367
-97,96,-62,-475
43,-26,87,356
-10,-11,-97,-279
-78,24,33,-27
43,29,-3,-24
-6,38,-20,-142
-97,1,85,156
-41,-86,-79,-106
-40,64,-82,-414
-26,-59,68,296
-92,17,41,-3
62,-12,46,224
59,64,61,114
77,-29,-55,-30
78,-66,-4,198
1,-73,-40,27
4,49,91,179
68,-7,46,220
83,-52,84,439
94,-58,64,402
-48,-85,-31,29
-52,25,-8,-126
-15,-18,1,24
96,79,5,-47
81,14,-87,-208
-9,31,-88,-335
27,-86,-19,142
36,-42,83,369
-97,-37,71,190
87,46,44,127
15,92,47,-28
52,48,-89,-311
53,-51,-11,122
-72,78,-32,-324
40,-84,27,289
-90,100,80,-50
49,-90,-52,73
89,34,-83,-228
20,42,-72,-280
-31,-14,-26,-81
31,-76,36,291
77,100,-46,-261
-51,-86,60,301
-24,46,-27,-197
-35,-95,100,455
90,44,38,116
31,-66,44,295
-55,78,65,-16
0,95,-89,-457
96,-43,-28,98
58,55,44,80
61,66,-62,-257
-80,15,77,121
-23,78,94,103
70,-97,64,456
21,20,-79,-256
50,-49,15,193
-27,-22,48,161
15,83,-66,-349
12,-12,73,255
-97,-63,-56,-139
39,-68,63,364
-48,80,-27,-289
-74,93,97,31
46,66,-77,-317
-41,2,-98,-339
-40,-100,39,277
-88,-80,88,336
41,70,6,-81
20,11,-91,-275
36,96,-2,-162
-97,1,-10,-129
-35,87,69,-2
-23,70,77,68
17,-81,20,239
-24,-37,-67,-151
39,-60,64,351
39,7,90,295
6,63,-82,-366
-80,-34,81,231
68,49,66,168
97,7,97,374
85,51,-51,-170
80,2,57,247
49,-14,-14,35
-38,71,84,72
-47,-98,62,335
9,53,4,-85
-9,-23,72,253
6,23,91,233
53,26,93,280
68,79,11,-57
-4,91,16,-138
50,11,18,82
89,-80,12,285
-7,68,84,109
21,-23,85,322
-67,91,24,-177
-15,-24,65,228
-99,49,12,-161
9,-4,71,230
87,51,1,-12
91,-66,-45,88
85,-56,19,254
-38,65,-39,-285
9,30,-90,-321
-93,58,11,-176
11,54,89,170
97,-42,-44,49
-90,76,65,-47
-43,-21,-42,-127
-85,-16,-31,-146
14,-67,-14,106
-67,62,-87,-452
-34,-27,46,158
-15,31,-22,-143
26,2,74,244
32,67,-66,-300
-30,-71,15,157
73,62,-58,-225
-41,-5,-29,-118
72,67,-87,-323
88,-37,-13,123
88,40,-81,-235
-33,71,-30,-265
0,14,-47,-169
-78,-77,-44,-56
20,79,40,-18
18,94,27,-89
-48,-25,-39,-115
-29,87,94,79
-50,50,-12,-186
-51,100,-32,-347
4,-54,-95,-173
-76,-7,-14,-104
97,91,-54,-247
-98,11,12,-84
17,18,13,20
83,47,-17,-62
-7,-53,50,249
-53,-40,-76,-201
36,-80,-48,52
-32,1,89,233
-92,-53,39,131
-14,-99,99,481
93,56,-88,-283
2,94,2,-180
89,-75,-25,164
-70,-7,15,-11
78,91,27,-23
-37,30,3,-88
8,99,-21,-253
-94,-54,-100,-286
-38,36,-76,-338
-82,-99,67,317
35,-41,86,375
-17,12,54,121
-9,-42,-57,-96
-77,2,-14,-123
15,-54,13,162
-13,96,-64,-397
-59,15,10,-59
70,-6,37,193
-73,93,-85,-514
13,59,6,-87
-43,-56,-71,-144
-85,-84,-6,65
-45,-80,81,358
91,54,-96,-305
40,-2,-55,-121
85,42,-85,-254
-10,9,93,251
19,76,12,-97
-39,-69,-67,-102
-39,-17,28,79
-36,67,96,118
82,-37,90,426
11,23,-62,-221
50,23,-14,-38
-30,62,-81,-397
-18,7,80,208
33,65,88,167
75,57,-6,-57
-31,-72,46,251
-63,-36,27,90
33,-84,38,315
-2,-33,61,247
14,94,27,-93
-90,38,-36,-274
-96,17,-11,-163
51,67,54,79
86,-11,-94,-174
-68,-83,19,155
85,88,96,197
52,-67,44,318
-96,53,71,11
-1,-2,-33,-96
44,-42,27,209
-56,51,39,-41
61,70,-3,-88
64,84,67,97
43,57,21,-8
-24,54,94,150
69,71,-39,-190
14,30,-58,-220
90,87,-65,-279
-64,-79,-72,-122
9,-79,-61,-16
82,-53,-80,-52
-88,-97,-39,-11
69,-47,-99,-134
-69,30,80,111
75,63,21,12
-86,-72,-59,-119
-50,98,-35,-351
-89,-98,-14,65
64,-45,-29,67
-8,-99,26,268
-15,86,-48,-331
-8,-39,44,202
-43,25,-75,-318
8,-42,96,380
-67,-3,50,89
95,-81,-64,65
71,47,84,229
32,-77,-92,-90
-5,-86,-95,-118
84,-18,99,417
45,-36,-71,-96
-90,20,-6,-148
-35,0,79,202
-99,-64,-53,-130
-59,42,96,145
16,-37,-39,-27
12,-25,45,197
-2,89,-26,-258
-61,1,-91,-336
29,-90,-98,-85
-47,-89,-18,77
-56,44,26,-66
-20,9,54,124
74,5,85,319
65,42,-24,-91
-69,19,-9,-134
-75,73,-38,-335
7,23,-86,-297
33,19,-86,-263
37,37,20,23
28,46,-83,-313
-8,48,-5,-119
-36,5,35,59
42,69,93,183
-26,-43,65,255
