x,y
28121,228119
46471,246469
30555,230553
99488,299486
56650,256648
28910,228908
43581,243579
76702,276700
33923,233921
75048,275046
50038,250036
26922,226920
65299,265297
99787,299785
37310,237308
76218,276216
56141,256139
82721,282719
33618,233616
52654,252652
46156,246154
87253,287251
82935,282933
81003,281001
19162,219160
66725,266723
17653,217651
68355,268353
95863,295861
82463,282461
27052,227050
67945,267943
66799,266797
24282,224280
26688,226686
29626,229624
82829,282827
91760,291758
77135,277133
63125,263123
21756,221754
12336,212334
99720,299718
25237,225235
51081,251079
63012,263010
94777,294775
75226,275224
55829,255827
73833,273831
51954,251952
52611,252609
55041,255039
64790,264788
48894,248892
69721,269719
18681,218679
28521,228519
94071,294069
15134,215132
35162,235160
68817,268815
16405,216403
34322,234320
71401,271399
19368,219366
87694,287692
72969,272967
74982,274980
37947,237945
56932,256930
72586,272584
95894,295892
11572,211570
53246,253244
67100,267098
38011,238009
86773,286771
27109,227107
58206,258204
19084,219082
34504,234502
90873,290871
83362,283360
53341,253339
44252,244250
92999,292997
45895,245893
99394,299392
87880,287878
53353,253351
55041,255039
20909,220907
90912,290910
96891,296889
36373,236371
49184,249182
96388,296386
51739,251737
80176,280174
20724,220722
80789,280787
73794,273792
58879,258877
74612,274610
73735,273733
78545,278543
88426,288424
60399,260397
69846,269844
13855,213853
78959,278957
77975,277973
82841,282839
21311,221309
58112,258110
79877,279875
79460,279458
45936,245934
99775,299773
74040,274038
82381,282379
75559,275557
35716,235714
91927,291925
59927,259925
19506,219504
59255,259253
51356,251354
32186,232184
43801,243799
35648,235646
36300,236298
73991,273989
58926,258924
43184,243182
71243,271241
43581,243579
46797,246795
16164,216162
69657,269655
78516,278514
48211,248209
33600,233598
65953,265951
99955,299953
47545,247543
24346,224344
56850,256848
48359,248357
58345,258343
34129,234127
71882,271880
47560,247558
75125,275123
19897,219895
33141,233139
72201,272199
27812,227810
91694,291692
30090,230088
12474,212472
93715,293713
80622,280620
54254,254252
54802,254800
44037,244035
52651,252649
77030,277028
58489,258487
75980,275978
81905,281903
54631,254629
99940,299938
87382,287380
70145,270143
38820,238818
20394,220392
75069,275067
63413,263411
35258,235256
32506,232504
94385,294383
86789,286787
38927,238925
69259,269257
91077,291075
23007,223005
98674,298672
24337,224335
23353,223351
70190,270188
87294,287292
78914,278912
17725,217723
24650,224648
21874,221872
29126,229124
97436,297434
76022,276020
11241,211239
63956,263954
65614,265612
72549,272547
89724,289722
17601,217599
36797,236795
15025,215023
12913,212911
71573,271571
38270,238268
28720,228718
77397,277395
42439,242437
47585,247583
86854,286852
11171,211169
45205,245203
69915,269913
97536,297534
74954,274952
57522,257520
40615,240613
46472,246470
89447,289445
34796,234794
93932,293930
77875,277873
63430,263428
82261,282259
21201,221199
23978,223976
12233,212231
29247,229245
85353,285351
94238,294236
16328,216326
92788,292786
76095,276093
10606,210604
75442,275440
47204,247202
82311,282309
15415,215413
69818,269816
81347,281345
58094,258092
13619,213617
95960,295958
68343,268341
41025,241023
95311,295309
43846,243844
70277,270275
68045,268043
10320,210318
16691,216689
32527,232525
37128,237126
63129,263127
33296,233294
16727,216725
26624,226622
91933,291931
39702,239700
60622,260620
81656,281654
77324,277322
44679,244677
38858,238856
82671,282669
21438,221436
19038,219036
70635,270633
46499,246497
95920,295918
60105,260103
15042,215040
39548,239546
93570,293568
35783,235781
41818,241816
46311,246309
37516,237514
41890,241888
84414,284412
88963,288961
41807,241805
73979,273977
20389,220387
71571,271569
37834,237832
83862,283860
15130,215128
55031,255029
29157,229155
55087,255085
84423,284421
19552,219550
34056,234054
95902,295900
12402,212400
28710,228708
27224,227222
43869,243867
36687,236685
90703,290701
76492,276490
27567,227565
90507,290505
42010,242008
37636,237634
28283,228281
87627,287625
43283,243281
16075,216073
88305,288303
58352,258350
60652,260650
89319,289317
53796,253794
22260,222258
77273,277271
46938,246936
65421,265419
39257,239255
98876,298874
41902,241900
43316,243314
41756,241754
26377,226375
62107,262105
16091,216089
76562,276560
93398,293396
90832,290830
75683,275681
71774,271772
35581,235579
61340,261338
91795,291793
96828,296826
37245,237243
34295,234293
32032,232030
25843,225841
26291,226289
36095,236093
81900,281898
11955,211953
98120,298118
60648,260646
34515,234513
68709,268707
62096,262094
17233,217231
77713,277711
99081,299079
28430,228428
95193,295191
27642,227640
86912,286910
91416,291414
93096,293094
82444,282442
86681,286679
77452,277450
65487,265485
75993,275991
18313,218311
88707,288705
45912,245910
67365,267363
28781,228779
24822,224820
38779,238777
45662,245660
68386,268384
81488,281486
80302,280300
78247,278245
23109,223107
16951,216949
77535,277533
37229,237227
58893,258891
67420,267418
23087,223085
41145,241143
74395,274393
21425,221423
44228,244226
48730,248728
10127,210125
38309,238307
95590,295588
72795,272793
30088,230086
64000,263998
92917,292915
13559,213557
37173,237171
73014,273012
29904,229902
78718,278716
32025,232023
15124,215122
78998,278996
11588,211586
63065,263063
90508,290506
55462,255460
15919,215917
29433,229431
87722,287720
70568,270566
85374,285372
38944,238942
76445,276443
54980,254978
80114,280112
26433,226431
61804,261802
27951,227949
73976,273974
90765,290763
24243,224241
35221,235219
44288,244286
36443,236441
41268,241266
55053,255051
79366,279364
28726,228724
23159,223157
20396,220394
16688,216686
41824,241822
74206,274204
29584,229582
55440,255438
35121,235119
47662,247660
37462,237460
66997,266995
60214,260212
28891,228889
95056,295054
49988,249986
98175,298173
69439,269437
25518,225516
55580,255578
38377,238375
78035,278033
64968,264966
21517,221515
10854,210852
27769,227767
63295,263293
65293,265291
48042,248040
13027,213025
67228,267226
50643,250641
47847,247845
20489,220487
21649,221647
84413,284411
99309,299307
65667,265665
32697,232695
83507,283505
74397,274395
81234,281232
12837,212835
34325,234323
52767,252765
52611,252609
91635,291633
43702,243700
47213,247211
78148,278146
24690,224688
90256,290254
82743,282741
82364,282362
45094,245092
26121,226119
32513,232511
99281,299279
32231,232229
50148,250146
21235,221233
79974,279972
13464,213462
46635,246633
