x,y
21723,221721
59491,259489
76596,276594
32616,232614
56513,256511
72350,272348
64463,264461
15546,215544
83876,283874
89235,289233
67530,267528
68809,268807
90846,290844
63921,263919
36452,236450
10514,210512
29774,229772
28551,228549
47932,247930
93276,293274
59243,259241
46941,246939
32377,232375
58420,258418
42933,242931
31643,231641
28697,228695
53696,253694
16043,216041
54384,254382
62442,262440
75821,275819
44471,244469
91054,291052
76768,276766
38137,238135
27804,227802
95167,295165
41861,241859
18422,218420
36446,236444
11260,211258
59307,259305
36426,236424
76709,276707
82400,282398
23433,223431
68392,268390
76187,276185
82689,282687
71195,271193
10339,210337
15398,215396
49991,249989
59003,259001
54533,254531
93642,293640
20737,220735
89570,289568
48884,248882
39338,239336
20102,220100
42720,242718
13175,213173
54458,254456
83191,283189
74379,274377
82776,282774
52804,252802
51895,251893
12227,212225
58396,258394
94677,294675
98516,298514
14298,214296
62876,262874
75936,275934
47695,247693
38263,238261
52455,252453
75866,275864
52867,252865
37221,237219
57520,257518
32253,232251
73600,273598
15539,215537
17153,217151
11276,211274
30975,230973
43895,243893
82415,282413
55954,255952
59882,259880
48808,248806
10292,210290
95601,295599
34426,234424
16058,216056
89981,289979
80393,280391
31472,231470
12764,212762
65099,265097
41245,241243
85024,285022
42679,242677
39688,239686
56208,256206
69944,269942
64593,264591
89877,289875
45408,245406
29858,229856
98868,298866
33225,233223
43858,243856
54400,254398
38141,238139
98253,298251
73519,273517
29930,229928
56120,256118
32309,232307
71935,271933
18077,218075
76838,276836
11456,211454
82824,282822
98689,298687
47493,247491
38280,238278
75196,275194
44740,244738
46411,246409
84594,284592
83920,283918
91539,291537
12728,212726
77643,277641
19635,219633
89792,289790
59365,259363
90676,290674
92179,292177
52161,252159
63761,263759
23690,223688
49469,249467
64550,264548
45043,245041
70417,270415
40120,240118
20849,220847
97921,297919
71093,271091
75447,275445
58668,258666
89447,289445
47892,247890
55999,255997
35406,235404
20263,220261
92904,292902
88624,288622
26095,226093
48244,248242
89534,289532
53315,253313
71624,271622
50176,250174
49872,249870
53202,253200
14519,214517
37667,237665
38615,238613
65894,265892
11908,211906
29070,229068
75434,275432
29401,229399
83421,283419
64775,264773
53773,253771
30567,230565
75845,275843
21401,221399
71660,271658
71980,271978
23803,223801
44278,244276
37343,237341
12286,212284
72250,272248
46733,246731
19552,219550
15738,215736
98298,298296
75388,275386
16349,216347
13619,213617
95831,295829
52604,252602
69369,269367
86372,286370
26036,226034
83764,283762
92606,292604
92461,292459
75631,275629
76882,276880
15318,215316
26053,226051
88102,288100
54734,254732
55879,255877
53266,253264
53532,253530
90535,290533
33719,233717
76642,276640
97950,297948
58142,258140
55312,255310
42129,242127
72562,272560
52909,252907
51358,251356
98336,298334
67388,267386
69773,269771
73844,273842
29663,229661
38674,238672
13456,213454
33275,233273
65030,265028
33635,233633
25056,225054
59652,259650
78856,278854
82082,282080
88801,288799
28521,228519
41532,241530
36420,236418
98251,298249
90625,290623
81662,281660
18275,218273
28074,228072
29343,229341
99102,299100
92555,292553
82803,282801
16703,216701
63758,263756
63799,263797
87325,287323
78529,278527
47307,247305
48003,248001
27059,227057
36916,236914
59475,259473
72305,272303
42055,242053
27680,227678
69295,269293
89502,289500
42645,242643
17130,217128
10267,210265
55670,255668
36487,236485
76218,276216
88762,288760
68175,268173
57485,257483
16565,216563
60208,260206
98368,298366
61513,261511
31112,231110
86026,286024
77714,277712
38961,238959
72901,272899
47918,247916
96123,296121
44887,244885
70592,270590
12292,212290
67628,267626
68917,268915
15862,215860
83022,283020
52095,252093
73402,273400
19875,219873
49939,249937
20815,220813
39924,239922
30310,230308
63286,263284
86297,286295
81553,281551
13950,213948
68379,268377
17098,217096
30556,230554
98373,298371
11868,211866
51245,251243
80167,280165
58811,258809
89831,289829
77993,277991
57006,257004
97807,297805
81125,281123
90932,290930
12243,212241
98688,298686
69704,269702
34119,234117
76371,276369
53977,253975
67514,267512
61995,261993
89437,289435
93640,293638
93667,293665
15229,215227
81629,281627
74791,274789
86707,286705
54146,254144
91178,291176
81084,281082
16359,216357
36759,236757
62968,262966
66914,266912
71045,271043
99293,299291
11609,211607
67288,267286
97180,297178
19684,219682
20964,220962
18018,218016
24099,224097
95180,295178
96864,296862
71512,271510
97664,297662
10487,210485
71439,271437
21466,221464
63853,263851
75929,275927
47437,247435
25280,225278
38791,238789
21646,221644
29415,229413
11926,211924
15678,215676
18343,218341
84560,284558
38837,238835
59210,259208
16591,216589
84434,284432
83530,283528
64597,264595
98460,298458
65542,265540
49999,249997
51271,251269
33430,233428
58503,258501
74406,274404
20235,220233
90653,290651
72686,272684
36915,236913
61014,261012
47181,247179
32084,232082
15150,215148
24570,224568
23155,223153
23412,223410
71073,271071
64527,264525
83138,283136
96832,296830
17945,217943
58045,258043
69429,269427
67953,267951
94694,294692
35525,235523
87752,287750
60269,260267
38281,238279
28945,228943
12696,212694
71086,271084
46328,246326
13978,213976
45699,245697
75650,275648
47543,247541
65844,265842
92445,292443
50342,250340
87102,287100
17257,217255
69975,269973
78918,278916
77842,277840
76436,276434
27780,227778
88528,288526
18009,218007
41740,241738
58872,258870
37958,237956
18503,218501
55135,255133
68919,268917
20136,220134
24009,224007
80626,280624
93484,293482
84930,284928
87937,287935
44771,244769
61826,261824
14926,214924
35349,235347
23626,223624
17970,217968
68383,268381
20470,220468
47805,247803
74110,274108
17331,217329
54322,254320
25334,225332
99374,299372
15896,215894
93273,293271
13700,213698
46223,246221
43293,243291
41479,241477
57605,257603
62587,262585
45489,245487
61169,261167
79791,279789
84758,284756
34927,234925
99320,299318
59322,259320
27040,227038
23894,223892
93475,293473
64963,264961
28880,228878
52970,252968
56204,256202
97898,297896
65073,265071
31705,231703
95686,295684
40879,240877
37917,237915
27078,227076
60293,260291
23882,223880
24327,224325
15886,215884
71377,271375
10819,210817
95686,295684
96711,296709
89014,289012
77425,277423
22710,222708
81704,281702
32166,232164
50031,250029
54373,254371
98312,298310
61670,261668
93532,293530
71229,271227
71175,271173
14254,214252
88997,288995
65825,265823
27673,227671
29930,229928
84376,284374
31703,231701
26300,226298
30963,230961
32022,232020
37169,237167
20508,220506
78810,278808
95878,295876
12289,212287
54946,254944
63321,263319
74583,274581
50237,250235
36294,236292
16544,216542
31020,231018
12606,212604
72692,272690
33572,233570
40590,240588
88863,288861
52989,252987
20328,220326
67922,267920
66396,266394
79298,279296
63136,263134
15266,215264
14893,214891
31940,231938
96745,296743
98763,298761
98403,298401
38067,238065
41419,241417
23129,223127
78185,278183
66196,266194
74934,274932
68773,268771
75901,275899
11674,211672
12725,212723
38506,238504
84212,284210
69248,269246
39338,239336
75414,275412
13671,213669
45841,245839
20706,220704
14164,214162
23674,223672
21350,221348
48193,248191
13163,213161
98465,298463
84431,284429
68373,268371
64383,264381
64049,264047
47562,247560
66547,266545
43549,243547
69506,269504
50551,250549
91039,291037
37524,237522
32329,232327
46628,246626
76224,276222
35178,235176
92957,292955
10113,210111
13479,213477
72637,272635
86235,286233
95350,295348
69838,269836
65746,265744
39408,239406
91827,291825
66181,266179
45000,244998
85483,285481
47236,247234
35623,235621
42979,242977
52685,252683
72459,272457
37437,237435
26295,226293
52653,252651
33889,233887
46723,246721
38064,238062
78198,278196
80663,280661
37897,237895
88635,288633
79300,279298
68642,268640
73651,273649
63433,263431
91490,291488
56791,256789
23976,223974
82428,282426
14444,214442
56025,256023
14816,214814
14985,214983
26372,226370
14934,214932
64645,264643
44007,244005
48777,248775
25051,225049
17845,217843
