x1,x2,x3,y
100,32,-49,-111
5,82,-61,-342
-43,-89,95,420
-24,-39,4,66
-69,100,19,-212
-46,30,68,98
-16,-53,69,297
-32,52,-49,-283
-1,64,30,-39
-7,-78,18,203
-78,-7,6,-46
63,84,-83,-354
68,1,-94,-216
-82,63,-5,-223
-88,-94,-77,-131
33,89,-17,-196
-27,29,50,65
-83,99,79,-44
-22,-39,60,236
-32,62,33,-57
63,-5,-100,-227
30,-79,-93,-91
-23,16,-88,-319
97,-15,73,346
51,-65,49,328
67,-38,64,335
-65,67,19,-142
95,98,-26,-179
34,-49,90,402
90,-3,-80,-144
-7,43,12,-57
-96,29,54,8
95,-97,-29,202
-15,82,-26,-257
-40,73,-50,-336
-92,-53,-97,-277
100,-21,-56,-26
23,79,-5,-150
-60,-89,50,268
12,80,-11,-181
24,-67,-5,143
95,44,98,301
-88,26,-4,-152
-12,-66,62,306
58,-61,12,216
-98,80,-21,-321
-69,-18,37,78
60,78,-75,-321
-12,32,-24,-148
85,68,9,-24
29,-98,-100,-75
7,-39,98,379
73,56,-58,-213
86,-100,-28,202
82,76,-68,-274
1,-63,91,400
86,-19,-92,-152
-77,55,86,71
-90,53,37,-85
67,-64,-95,-90
-27,10,73,172
54,91,92,148
60,-77,-93,-65
61,-34,-42,3
18,53,99,209
0,54,10,-78
6,-72,28,234
53,35,13,22
15,61,54,55
39,54,-13,-108
-85,74,97,58
79,-87,34,355
52,-59,-97,-121
49,9,26,109
23,-1,48,169
-26,1,-24,-100
41,41,36,67
-43,-20,-92,-279
39,-59,63,346
6,65,38,-10
81,1,4,91
52,71,44,42
82,-61,94,486
-53,-9,35,70
45,70,-81,-338
34,-90,-63,25
89,-63,-23,146
7,8,-34,-111
52,56,-7,-81
85,32,-73,-198
-13,64,90,129
42,-21,63,273
57,44,-40,-151
-52,-8,-59,-213
-58,-57,53,215
61,87,-44,-245
-66,-61,-95,-229
-76,-68,-90,-210
-2,9,-21,-83
15,94,-32,-269
61,60,2,-53
10,-67,40,264
6,23,27,41
-88,-86,-28,0
-14,71,3,-147
88,-23,-25,59
-17,-44,64,263
-52,-69,22,152
-92,99,-63,-479
-34,-36,-38,-76
60,97,-15,-179
-23,-51,-4,67
74,18,17,89
47,-56,-37,48
-87,85,-33,-356
16,77,17,-87
57,86,75,110
-10,-16,-58,-152
27,55,96,205
-78,7,-17,-143
27,-6,16,87
-43,16,-63,-264
32,64,-88,-360
42,-83,63,397
-98,-63,-3,19
42,45,-48,-192
-82,-98,30,204
-18,-63,-93,-171
2,-53,26,186
9,-61,91,404
-87,-36,-61,-198
54,-8,-45,-65
-67,-50,16,81
83,36,73,230
23,-13,-30,-41
45,-91,26,305
-78,54,27,-105
65,51,-73,-256
-35,56,-17,-198
18,46,58,100
95,62,79,208
70,55,80,200
62,-32,-48,-18
-88,36,-14,-202
64,64,-50,-214
-43,1,23,24
13,88,-30,-253
-50,44,-69,-345
-95,-49,-83,-246
25,37,64,143
-90,-58,3,35
-31,-49,8,91
12,35,38,56
70,-80,-49,83
-7,15,-94,-319
92,-97,94,568
93,14,-66,-133
-69,-90,26,189
48,-69,-27,105
1,-51,95,388
-92,15,-70,-332
-41,85,-48,-355
69,6,88,321
11,-46,-26,25
