faceX,faceY,faceW,faceH,servoPitch,servoYaw
341,200,191,196,0.58,0
179,55,330,43,0,0
52,185,390,381,1.35,0.73
397,464,317,331,5.24,0
449,397,351,96,7.29,0
593,56,118,234,6.62,0
576,69,362,211,5.96,0
319,91,95,56,4.75,0
53,467,66,376,8.9,2.34
422,67,254,182,8.08,0.04999999999999982
372,11,160,397,7.7700000000000005,0
603,414,71,190,10.46,0
603,431,307,389,14.31,0
462,1,256,42,12.13,0
569,411,184,327,15.47,0
419,93,362,374,15.870000000000001,0
421,407,298,380,19.44,0
262,435,138,197,22.37,0
111,128,386,103,21.76,0.16
337,359,216,100,23.450000000000003,0
535,356,382,275,25.980000000000004,0
337,296,268,310,28.090000000000003,0
306,344,295,160,29.930000000000003,0
543,220,313,34,29.930000000000003,0
424,215,295,386,31.610000000000003,0
632,124,240,241,31.610000000000003,0
82,449,214,322,35.31,1.31
55,10,284,370,34.86,2.54
471,215,95,107,35.14,0.56
569,282,374,292,37.02,0
48,250,69,30,37.27,2.38
265,475,112,254,40.89,2.38
526,192,146,299,41.9,0
166,246,153,198,42.949999999999996,0.78
61,348,272,204,45.05,2.01
273,32,155,292,44.43,1.7099999999999997
75,145,165,268,44.82,3.34
223,317,216,372,47.45,3.23
52,333,50,118,48.970000000000006,5.66
573,344,314,119,50.60000000000001,1.5600000000000005
369,231,346,172,51.37000000000001,0
15,345,50,339,54.110000000000014,2.8000000000000003
482,382,228,174,56.40000000000001,0.040000000000000036
386,116,260,325,56.780000000000015,0
509,425,357,203,59.640000000000015,0
242,207,390,312,60.87000000000001,0
158,391,124,160,63.180000000000014,1.0
276,246,398,82,63.65000000000001,0
416,370,275,131,65.60000000000001,0
521,478,95,107,68.51,0
370,316,331,396,71.25,0
188,216,399,132,71.67,0
631,206,356,373,73.19,0
199,380,215,258,75.88,0.14
598,431,333,111,78.33999999999999,0
255,238,374,188,79.25999999999999,0
347,409,144,135,81.61999999999999,0
575,73,342,374,81.82,0
164,444,107,366,85.69,1.03
600,135,353,133,85.3,0
370,253,74,327,87.06,0
335,279,189,217,88.53,0
527,152,76,365,89.47,0
422,98,224,190,89.0,0
378,441,58,167,91.84,0
282,141,316,176,91.73,0
280,450,136,120,94.43,0
316,340,148,198,96.42,0
550,454,210,99,99.05,0
628,204,397,179,99.58,0
605,308,326,296,101.74,0
419,305,312,381,104.28999999999999,0
177,112,277,46,103.24,0
490,96,321,299,103.24,0
356,3,150,266,102.19999999999999,0
29,227,382,43,102.27999999999999,1.0
497,302,397,304,104.41999999999999,0
70,261,332,112,105.18999999999998,0.84
85,175,97,39,104.72999999999999,2.71
410,414,281,138,107.16,0.4099999999999997
61,43,368,107,105.72,1.1599999999999997
89,81,189,45,104.35,2.53
636,193,183,379,105.77,0
586,126,125,288,106.07,0
414,380,120,150,108.22,0
546,212,204,210,108.99,0
306,182,35,126,108.99,0
483,264,354,371,111.08,0
153,287,340,349,113.28999999999999,0
246,111,156,391,113.94999999999999,0
7,149,40,265,114.35999999999999,2.93
462,397,142,246,117.15999999999998,0.8000000000000003
35,179,64,147,117.27999999999999,3.3300000000000005
179,474,231,353,121.37999999999998,3.5900000000000007
632,58,394,49,119.79999999999998,0
150,140,46,43,119.00999999999998,1.47
562,276,265,297,120.84999999999998,0
601,254,216,52,121.24999999999999,0
22,56,338,349,121.14999999999999,1.29
261,468,303,106,123.96,0.37
521,363,343,78,125.58,0
622,388,194,176,127.94,0
627,174,349,87,127.71,0
157,93,136,396,128.22,0.9500000000000001
27,352,364,262,130.65,2.06
104,99,301,342,130.95000000000002,2.72
195,434,230,302,134.4,2.8200000000000003
197,15,195,77,132.53,3.08
203,381,161,399,135.93,3.45
415,199,87,328,137.16,2.0700000000000003
471,442,303,371,141.03,0
201,390,195,395,144.5,0.22
67,273,393,285,146.25,0.79
219,244,61,234,147.46,1.5
582,461,284,141,150.37,0
230,476,49,247,153.96,0.66
26,310,109,188,155.6,3.06
366,401,369,321,158.81,0.7599999999999998
580,327,117,279,161.07,0
371,325,341,306,163.45,0
13,422,355,110,165.82,1.3
422,45,287,39,164.06,0
588,115,259,365,164.63,0
255,468,155,269,168.25,0
439,191,120,179,168.65,0
110,323,364,194,170.45000000000002,0.28
156,345,400,361,173.3,0
267,276,291,362,175.47,0
174,398,182,88,177.49,0.55
322,148,39,390,178.52,0.3400000000000001
18,26,395,386,178.31,1.3900000000000001
